신조어,설명,유행여부
118.흠터레스팅,흐음+인터레스팅 (흥미롭다),0
119.갑분싸,갑자기 분위기가 싸해진다,0
120.BF,Best Friend. 좋은 친구,0
121.DB,담배,0
122.GG,Good Game,0
123.IBM,이미 버린 몸,0
124.KIN,즐(세워서 보면 ‘즐’로보임),0
125.OTL,좌절. 무릎을 꿇고 좌절하는 모습(뚫어져라 3초만보면 뭔 모양인지 알게됨),0
126.P방,PC방,0
127.룸곡,"룸곡 글자를 다른 방향으로 읽으면 ""눈물""",0
128.에어노마드족,"황사,미세먼지등 오염물질을 피해 깨끗한곳만 골라다니는 족속",0
129.whyrano,"읽는 그대로 ""와이라노""",0
130.쫌쫌다리,쫌쌩이,0
131.인방,인터넷 방송,0
132.반모,반말모드,0
133.오하운,오늘하루운동,0
134.코시국,코로나19 바이러스 시국,0
135.따상,더블 + 상한가'를 합친 단어이다.,0
136.따상상,따상했던 다음날도 상한가까지 솟구치고 시장마감,0
137.당모치,당연히 모든 치킨은 옳다,0
138.임포,"임포스터,임무를 수행못하게한다",0
139.군싹,군침이 싹돈다,0
140.횐님,회원님,0
141.후득,게임에서 죽고 아이템을 잃는 것,0
142.전거,메신저에서 전체쪽지 거부,0
143.전쪽(ㅈㅉ),메신저에서 전체쪽지,0
144.조낸,매우,0
145.네다씹(ㄴㄷㅆ),"네 다음 씹덕후 ""네 다음분""",0
146.완내스,완전내스타일,0
147.비담,비주얼담당,0
148.멍청비용,쓰지 않아도 될 시간과 돈을 소비했을때,0
149.갈비,갈수록 비호감,0
150.뎨동,죄송 귀엽게 표현,0
151.문송하다,문과라서 죄송,0
152.실드관말,실패한 드립에 관심을 주지 말라,0
153.얼리힐링족,나의 행복을 위해 내 일속만 챙기며 살아가는 족속,0
154.복세편살,복잡한 세상 편하게 살자,0
155.뷰알못,뷰티를 잘 알지 못하는 인간,0
156.워라밸(워크 앤 라이프 밸런스),일과 삶의 균형을 중요하게 여긴다,0
157.이생망,이번 생은 망했다,0
158.일생가,일상생활이 가능하긴 하니?,0
159.덕페이스,셀카에서 오리주둥이처럼 입술을  쭈욱 내민 형태로 귀엽고 장난끼스러운 웃긴표정,0
160.네오 싱글족,경제력+ 디지털 활용 능력 등 다양한 능력을 겸비한채로 독신 문화를 만끽하는  독신주의족,0
161.얼리힐링족,나의 행복이 최우선인 족속,0
162.거피셜,거의 오피셜,0
163.돌밥돌밥,돌아서면 밥차리고 상차리는 형국,0
164.디지털 단식,디지털문화를  의도적으로 멀리하는  행위,0
165.떡락,가치의 급격한 하락.,0
166.떡상,급상 또는  폭등,0
167.맥세권,맥도널드+역세권의 세권,0
168.일코노미,1인 가구+ 이코노미,0
169.자라족,부모에게 경제적으로 기대사는 젊은이들,0
170.푸라면,신라면의 한자를 한글로 변환해서 읽음,0
171.톤그로,자기 톤에 맞지 않는 화장품을 사용해서 어색,0
172.페이스펙,외모도 곧 스펙,0
173.편리미엄,편리함이 프리미엄. 가격보다 편리한 게 중요,0
174.팬아저,팬이 아니어도 저장.소장가치가 있다,0
175.할많하않,할 말은 많지만 하지 않겠다,0
176.대유잼,엄청나게 재미있음,0
177.인싸,인사이더/무리에 잘 섞여서 노는사람,0
178.법블레스유,법과 블레스(Bless)+유(you) =법만 아니면,0
179.가만두지,않겠다지만 욕해봤자 내입과 sns만 더럽혀진다,0
180.성덕,성공한 덕후,0
181.제곧네,제목이 곧 내용,0
182.자만추,자연스러운 만남을 추구,0
183.세젤예,세상에서 젤 예쁨,0
184.명존쎄,명치를 졸라 때린다= 맞을 짓을 하는 사람을 때리고 싶다,0
185.스몸비,스마트폰+ 좀비= 길을 걸을때도 스마트폰을 보며 걷는인간,0
186.빼박캔트,빼도 박도 못한다,0
187.휘게,덴마크어로 '편안함'/소확행과 비슷하게 사용됨,0
188.희연사,"""희귀한 연예인 사진""",0
189.힘순찐,"""힘을 숨긴 찐따""",0
190.삼귀자,연인들이 사귀기 전의 1차단계,0
191.스세권,스타벅스+역세권=스타벅스가 가까이 있는 지역,0
192.맥도날드/스타벅스말고도,점포이름이나 건물이름을 역세권의 세권 두글자에 붙이면 수십 수천개의 언어조합이 가능해짐.,0
193.사바사,사람마다 다름을 의미하는 표현.,0
194.반신,반말 신청,0
195.얼죽아,얼어 죽어도 아이스 아메리카노,0
196.얼죽+무언가를,붙이면 다 말이됨.,0
197.뜸죽핫,뜸들어 죽어도 핫쵸코,0
198.얼뒈아,얼어 뒈져도 아이스 아메리카노,0
199.뜸뒈핫,뜸들어 뒈져도 핫쵸코,0
200.내또출,내일 또 출근,0
201.아퇴,아싸 퇴근,1
202.임구,이미 구독,1
203.와리가리,적의 반격을 받지 않고 적을 쓰러뜨리는 기술,1
204.돌취생,돌아온 취업 준비생,1
205.손놈,손님이지만 매너 없는 놈,1
206.주놈,주인이지만 매너 없는 놈,1
207.주갑,주인갑질,1
208.손갑,손님갑질,1
209.영고,영원히 고통받는다,1
210.혼영,혼자서 영화보기,1
211.혼미,혼자서 미친짓,1
212.쉐도우 복싱,혼자 북 치고 장구치고 하는 행위,1
213.브금(배경음악),BGM을 한글로 읽히는 대로 표현,1
214.하실?,하실래요?,1
215.제곧내,제목이 곧 내용/글의 제목과 내용이 일치,1
216.머장,대장이라는 글자를 생긴 대로 바꿈,1
217.알부자,"다양한 아르바이트를 해대는 ""알바 부자""",1
218.부린이,부동산+어린이=부동산을 잘 모르고 매매하는 인간,1
219.하차감,차에서 내릴 때 주변 사람들이 쳐다볼때의 그 느낌,1
220.강직인,강아지를 키우는 직장인,1
221.불소,불타는 소통,1
222.사망년,대학교 3학년이 되면 취업준비하게되는데 오죽하면 사망년,1
223.사축,회사가 사육하는 동물,1
224.실어증,일하기 싫어,1
225.아무 말 대잔치,생각 없이 아무 말이나 내뱉는다,1
226.오저씨,오빠와 아저씨/나이 차이가 애매한 사람을 부를 때 사용,1
227.월급루팡,마땅히 하는 일 없이 월금만 받아가는 직원,1
228.궁사물사,궁금한사람?물어본사람?,1
229.커우커우족,짠돌이나 알뜰살뜰족,1
230.끔살,끔찍하게 살해당한다/별거 아닌 거에 비유해서 장난치는 표현,1
231.괄도,팔도비빔면,1
232.발컨,발로 컨트롤,1
233.핑프,'핑거 프린세스(finger princess)어떤 정보도 찾아 보려는 노력 1도 없이 무조껀 물어서 해결하려는 인간을 가르킬때 사용,1
234.엄근진,"엄격하다, 근엄하다, 진지하다 점잖고 엄숙한 태도를 보이는 사람을 가르킬때 사용",1
235.보배,보조배터리.,1
​236.뚝배기 깬다,뚝배기(대갈통)깬다.나 뚜껑 열렸어 ㅆㅂ~,1
237.팩폭,팩트폭행/옳은 소리로 상대를 단숨에 제압해 버릴때 사용,1
238.금턴,인턴인데 금수저인데다가 금수저가 정규직될 확률이 높은 상황,1
239.시강,시선강탈,1
240.​시피(cp),시내피시방,1
241.스바라시 / 스라,놀람 또는 대박,1
242.​뺑끼,비행기타다 ==>> 잠수타다,1
243.각집,각자 집갈때 사용,1
244.간지나다,폼 나다 뽀대나다,1
245.강간(관광),게임에서 상대가 너무 약해서 콜드게임 수준으로 이겨버릴때,1
246.강추,강력하게 추천,1
247.고친,고민을 해결해주는 친구,1
248.부친,부담만 주는 친구,1
249.때친,때리기만 하는 친구,1
250.놀친,놀리기만 하는 친구,1
251.돈친,돈잘써주는 친구,1
252.삥친,삥뜯는 친구,1
253.주친,술친구,1
254.빵프,감빵 프렌드,1
255.관광시키다,상대가 게임을 너무 못해서 갖고 놀다,1
256.광클,미치도록 클릭,1
257.귀사,귀여운 척 사기 치는것,1
258.예사,예쁜 척 사기 치는것,1
259.진사,진짜인척 사기 치는것,1
260.글설리,글쓴이를 설레게 하는 리플,1
261.길막,길을 막는다,1
262.냉무,인터넷 게시물(또는 메일제목)에 내용이 없음. 제목글(냉무),1
263.냉유,인터넷 게시물(또는 메일제목)에 내용이 있슴.제목글(냉유),1
264.네가지,싸가지,1
265.넷심,인터넷상의  여론심리. 혹은 여론몰이,1
266.놀토,"학교에서 노는 토요일. 토요휴무제 적용시둘째,네째 토요일",1
267.눈팅,게시글에 대해 댓글은 달지 않고 보기만 함,1
268.님선,님이 먼저 하세요!!,1
269.담샘,담임선생,1
270.담순이,여자담임선생,1
271.담탱이,담임선생,1
272.당빠,당연하다,1
273.돌거,돌린 쪽지 거부,1
274.뒤땅,뒤에서 욕을 하거나 모함을 함,1
275.뒷간,앞에서는 잘해주는 척하다가 뒤에 가서 뒴담화깜,1
276.렘업,레벨업,1
277.려차,욕설 (려차를 영문자판으로 쳤을때 fuck),1
278.로긴,로그인,1
279.마설,설마/도치법,1
280.맞삭,서로 친구 관계 삭제,1
281.몰컴,몰래 컴퓨터를 함,1
282.무플,인터넷 게시물에 댓글이 없음,1
283.문상,문화상품권,1
284.물고기방,fish - P(=f).C =>pc방,1
285.므흣,수상쩍으면서도 음흉한 미소. 마음이 흡족함,1
286.반삭,삭발보다는 길고 스포츠형보다는 짧은 머리 모양(해병대이부가리),1
287.반팅,내홈피에도 들러줘라,1
288.버닝,불타는 열정적 사랑/burn․ing(불),1
289.버정,버스정류장,1
290.뽀대,빛이난다 간지난다 뽀대작살,1
291.빽빽이,용지에 숙제 내용을 빽빽하게 쓰라고 내주는 숙제,1
292.뺑끼,거짓말.예)뺑끼치고 있어(있네),1
293.뻘쭘,민망,1
294.뽀대작살,아주 멋있음,1
295.뽐뿌,더 좋은 물건을 사고 싶은 욕구,1
296.사신계,사강신화는 계속 된다,1
297.샤방,우아하고 아름답게 반짝거는 미소또는 모습,1
298.생파,생일파티,1
299.선리후감,인터넷 게시물에다가 리플 먼저달고  자꾸 들어가서 자기껏을 감상,1
300.솔대,솔직이 말해서 대박!!=아주 훌률해!!,1
301.수겁,메신저를 사용 수신거부,1
302.슈주,슈퍼주니어=우량,1
303.스겜,스피드게임 예)스겜 한판 콜?,1
304.아사,모르면서도 아는 척 사기치는것,1
305.악셀,"악세사리/폰악셀,놋북악셀",1
306.안습,안구에 습기/슬퍼/ 눈물나/ 안습이다,1
307.애자,장애자,1
308.야리까다,담배 피다 야리 함 깔까(담배 한대 피울까),1
309.양끗,매우 엄청 많이 /예)오늘따라 양끗예쁜디,1
310.얼빵,얼굴 0점,1
311.엑박,인터넷에 있는 사진 동영상 등의 자료가 삭제되었거나 경로를 알수없을때,1
312.오나전,완전한 오타. 컴퓨터 자판에서 ‘완전’을 잘못치면 오나전이라고 흔하게 쳐짐,1
313.오래방,오락실이 있는 노래방,1
314.오링,올인.,1
315.오타신강림,pc에서 오타를 계속 치게될때,1
316.와방,매우,1
317.완소,완전 소중한 사람/예)완소우영우,1
318.원츄,원하다. want you,1
319.익게,익명 게시판,1
320.인강,인터넷 영상 강의,1
321.잇힝,기분 좋은 상태일때 내는 소리,1
322.자음남발,"예) ᄏᄏᄏᄏᄏᄏ,ㅠㅠㅠㅠㅠㅠ,ㅎㅎㅎㅎㅎㅎ",1
323.장미단추,추녀 멀리서보면 아름답고 가까이서 보면 못생겼다,1
324.지름신,충동구매를 부추기는 가상의 신,1
325.짤방,짤림방지용 게시물. 글을 올릴때 내 글이 짤리지 않도록 운영자가 헷갈리게  뭐 하나 더 얹어서 게시물이 삭제되지 않도록 방지하는것,1
326.찌질,잘하는것도 없고 공부도 못하고 남들이 다 아는 것도 모르는 멍청이/루저,1
327.채금,채팅 금지,1
328.초글링,유치한 행동. 초딩+저글링=떼거지로 몰려다니는 초딩들의 어수선한 모습이 저글링과 비슷함을 비유,1
329.친등,친구등록.유사어-친추(친구추가),1
330.친삭,친구 아이디 삭제,1
331.컴싸,컴퓨터용 싸인펜,1
332.키보드워리어,내 모습을 알지 못하는 인터넷 상에서는 대범하고  거침없는 행동으로 가오를 잡고 다니지만 실제 현실의 내 생활에서는 아무것도 하지 못하는 소심함.소극적인 면이 많아 인터넷상의 내 모습과 반대의 행동으로 살아가는 인간,1
333.투투,연인이 된지 22일 되는날.,1
334.팀킬,게임에서 자기 편을 죽임,1
335.햏자,행하는 사람인 주인공,1
336.헐랭,기운 이 빠졌을 떄 하는 말,1
337.환승이직,직장을 다니고있는 상태에서 새로운 직장을 모색한후 퇴사후 바로 직장을 옮기는 행위,1
338.조용한사직,월급받는만큼만 일하겠다.,1
339.런치플레이션,런치+인플레이션-고물가시대에 식대를 줄일려는 생각과 행동들이 눈에 띄게 나타나고 있는 현상.,1
340.국평,국민평수/34평을 가리킴.,1
341.대팔대사,대충팔고 대충사.지속적으로 상승하는 부동산시세에 맞춰 대충사고 대충팔아도 손해보지 않을때 사용하는 부동산 신조어.,1
342.몸테크,몸+재테크-재건축이나 재개발 지역 가능성이 있는 주택에 거주 하며 호재가 생기길 바라며 기회를 엿볼때 사용.,1
343.아파텔,아파트+오피스텔(주거 가능한 오피스텔),1
344.중꺽마,어떠한 악조건 환경이라도 포기하지 않는것이 중요하다는걸 표현할때 사용.,1
345.모에모에큥,음식이 맛있어지게하는 일본식 마법주문.,1
346.알파세대,"2011년~2025년 사이의 세대.아날로그와 관련없는 그 이상의 세대,즉 인공지능+디지털+스마트기기 밖에 모르는 세대.",1
347.드르륵탁,예시) 너무 예쁘고 목소리가 좋다 드르륵 탁 너무 예쁘고 좋은 목소리에 감동받았다를 강조하고 싶을때 사용,1
348.얀데레,"특정 대상을 너무 사랑한 나머지 집착,질투,극단적 행위를 할 수 있는 성격",1
349.~텍스처/~재질,"예)그렇게 입으니까 완전 노숙자 재질,그렇게 꾸미니까 완전 아재느낌 텍스터",1
350.그잡채,그 자체,1
351.박박,대박,1
352.SBN,선배님,1
353.싫존주의,싫어하는것을 존중하자는 주의,1
354.고치돈,고구마 치즈 돈까스,1
355.오하운,오늘 하루 운동,1
356.사바사,사람 바이 사람-사람마다 다르다.,1
357.ㄱㅂㅈㄱ,가보자고!역경 속에서 긍적적으로 나가보자구,1
358.내봐누,내일 봐요 누나,1
359.제당슈만,제가 당신을 슈퍼스타로 만들어 드리겠습니다.,1
360.오뱅알,오늘 방송 알차네,1
361.폼 미쳤다,역량이 뛰어나다.다른말로는 비꼴때 쓰이기도,1
362.겠냐,바라는데로 되면 좋겠지만 현실적으로 비희망적일때 사용.,1
363.추미스,추리 미스터리 스릴러,1
364.잼민이,초딩이를 비하할때 쓰이는 말,1
365.어닝쇼크,earning + shock-시장에서 기업들이 예상했던 것보다 실적이 미비함을 공개함으로써 주가에 영향을 미치는 현상.,1
366.돔황챠,도망쳐!,1
367.일며들다,일이 내 삶에 스며들었다.,1
368.짜짜,진짜,1
369.웅니,언니를 귀엽게 발음할때,1
370.여보당신,여유롭게 살되 보람차고 위풍당당 신바람나게 잘 살아보자.,1
371.혼틈,혼란한 틈을 타,1
372.애빼시,애교빼면 시체,1
373.자낳괴,자본주의가 낳은 괴물,1
374.스라벨,스터디앤라이프벨런스,1
375.구취,구독 취소,1
376.반모,반말 모드,1
377.Sexy food,너무 맛있는 음식을 표현하는 신조어,1
378.캘박,캘린더 박제-약속이나 일정을 달력에 박제/저장시킨다,1
379.savage,대박의 의미로 완전 쩌는데 이런 느낌의 감탄다 표현.,1
380.내또출,내일 또 출근,1
381.분조카,분위기 좋은 카페,1
382.꾸웨엑,후회해,1
383.하남자,상남자의 반댓말,1
384.마기꾼,마스크를 썼을때와 벗었을때 모습이 완전 실망일때,1
385.마해자,미모가 마스크에 가려서 원래 미모보다 안좋은 결과가 생겼을때,1
386.너뭐돼,니가 뭐라도 돼?(씨뱅아ㅋㅋ),1
387.돈쭐,좋은 일을 한 가게들을 찾아 상품을 팔아주는 모습,1
388.알빠임,내 알빠 아님,1
389.돼지런하다,먹을때만 졸라 부지런한 인간을 가르킬때,1
390.무물보,무엇이든 물어보세요.,1
391.자물직,자꾸 물어보면 직인다.,1
392.누물보,누구 물어보신분?,1
393.말또서,말 또 서운하게 하네,1
394.왠지,왠 지랄,1
395.뭔지,뭔 지랄,1
396.억까,억지로 깐다,1
397.두죽,두번 죽이네,1
398.인급동,인기 급상승 동영상,1
399.갑영퇴,갑질 영원히 퇴출,1
400.여시잠,여론은 시간이 지나면 잠잠해진다.,1
